listing_id,name,host_id,host_name,host_is_superhost,host_listings_count,host_tenure_years,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price_clean,availability_365,calendar_days,available_days,unavailable_days,availability_rate,occupancy_proxy,number_of_reviews,total_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,estimated_revenue_proxy,superhost_status,price_status,review_status,availability_rate_pct,occupancy_proxy_pct,host_portfolio_segment
1180413840741959699,Loft de Pijp,42350347,Pieter,False,1.0,10.83,De Pijp - Rivierenbuurt,52.35390244561095,4.889959730207919,Entire condo,Entire home/apt,2,1.0,1.0,189.0,157,365,157,208,0.4301,0.5699,2,2.0,5.0,5.0,5.0,5.0,39312.0,Non-Superhost,Available Price,Has Reviews,43.01,56.989999999999995,Single-listing host
1180452947062519582,Cosy & Modern Apartment with lift in OudWest,465821043,Derya,False,1.0,3.99,De Baarsjes - Oud-West,52.367013261477325,4.860503649076342,Entire condo,Entire home/apt,4,2.0,,,0,365,0,365,0.0,1.0,4,4.0,5.0,5.0,5.0,5.0,,Non-Superhost,Missing Price,Has Reviews,0.0,100.0,Single-listing host
1180456805090338655,"NEW: Large studio, quite, city centre",218617542,Tamara,False,2.0,7.72,Centrum-Oost,52.37438,4.90512,Entire rental unit,Entire home/apt,3,1.0,3.0,197.0,87,365,87,278,0.2384,0.7616,5,5.0,5.0,5.0,5.0,5.0,54766.0,Non-Superhost,Available Price,Has Reviews,23.84,76.16000000000001,Small portfolio host
1180923210627765387,Arthouse in de Pijp,6498688,Robbert,False,1.0,13.08,De Pijp - Rivierenbuurt,52.3557068,4.8991977,Entire home,Entire home/apt,2,1.0,1.0,423.0,361,365,361,4,0.989,0.011,0,,,,,,1692.0,Non-Superhost,Available Price,No Reviews,98.9,1.0999999999999999,Single-listing host
1180957714148737687,Let Your Soul Fly In The Heart Of Amsterdam,16336730,Samuel,False,1.0,12.05,Centrum-West,52.368,4.8792,Entire rental unit,Entire home/apt,4,2.0,4.0,350.0,169,365,169,196,0.463,0.537,11,11.0,4.64,4.82,5.0,5.0,68600.0,Non-Superhost,Available Price,Has Reviews,46.300000000000004,53.7,Single-listing host
1180978835185436626,Mooi modern appartement,28102740,Elmar,False,1.0,11.33,Slotervaart,52.36390526234089,4.837598651647568,Entire condo,Entire home/apt,4,2.0,2.0,180.0,29,365,29,336,0.0795,0.9205,8,8.0,5.0,5.0,4.75,5.0,60480.0,Non-Superhost,Available Price,Has Reviews,7.95,92.05,Single-listing host
1181051978682995403,Cozy flat next to Vondelpark,41651111,Tabea,False,1.0,10.85,De Baarsjes - Oud-West,52.35982313039101,4.865305914668247,Entire rental unit,Entire home/apt,2,1.0,1.0,900.0,161,365,161,204,0.4411,0.5589,9,9.0,5.0,4.89,5.0,5.0,183600.0,Non-Superhost,Available Price,Has Reviews,44.11,55.88999999999999,Single-listing host
1181098759907488188,Amsterdam city center,24574690,Fenna,False,1.0,11.54,Centrum-West,52.37468,4.89965,Entire rental unit,Entire home/apt,4,2.0,2.0,500.0,90,365,90,275,0.2466,0.7534,1,1.0,5.0,5.0,5.0,5.0,137500.0,Non-Superhost,Available Price,Has Reviews,24.66,75.33999999999999,Single-listing host
1181135553843560438,Benedenwoning met tuin in de Pijp,28695043,Margot,False,1.0,11.3,De Pijp - Rivierenbuurt,52.35164645117914,4.897718305352292,Entire home,Entire home/apt,2,1.0,1.0,283.0,247,365,247,118,0.6767,0.3233,7,7.0,5.0,5.0,5.0,5.0,33394.0,Non-Superhost,Available Price,Has Reviews,67.67,32.33,Single-listing host
1181136038642103493,Backstage Hotel Twin/Double Room,565327731,Daan,False,4.0,2.3,Centrum-West,52.3654021796581,4.880213684655765,Room in hotel,Private room,2,1.0,2.0,252.0,250,365,250,115,0.6849,0.3151,81,81.0,4.78,4.88,4.9,4.91,28980.0,Non-Superhost,Available Price,Has Reviews,68.49,31.509999999999998,Small portfolio host
1181653035864638754,Cosy Appartement idéal famille avec jeunes enfants,584176642,Matthieu,False,1.0,2.01,De Pijp - Rivierenbuurt,52.34697150475191,4.888432277691921,Entire rental unit,Entire home/apt,4,3.0,,,0,365,0,365,0.0,1.0,0,,,,,,,Non-Superhost,Missing Price,No Reviews,0.0,100.0,Single-listing host
